placa,cd_modelo,chassi,ano,cor
"VHZ0247   ",58,52105475340,2016,BRANCO
"MMR7057   ",23,38784644494,2011,AMARELO
"SXU7702   ",94,70754147915,2003,PRETO
"MKI9962   ",48,13853465339,2007,CHUMBO
"CLQ9341   ",72,19123177814,2017,CINZA
"ECZ8899   ",32,96286370102,2004,VERMELHO
"KOR7154   ",61,21917341722,2024,CHUMBO
"BBE3069   ",67,99287170351,2000,BRANCO
"SAN9671   ",20,58999840290,2004,CHUMBO
"GHK4686   ",70,57105973063,2013,CHUMBO
"RUN7984   ",92,12451106432,2013,BRANCO
"CRZ1699   ",32,98574056911,2024,PRATA
"MGA4998   ",30,34224572585,2012,BRANCO
"RSV8432   ",38,22184811194,2017,CINZA
"ZVD1403   ",74,55521971352,2014,BRANCO
"GIV0630   ",11,45767109744,2011,CHUMBO
"CXQ0027   ",2,30793513854,2022,BRANCO
"OXQ4553   ",87,67874765530,2003,AMARELO
"RWD7963   ",47,67956627515,2000,PRATA
"LHX7873   ",27,33214133628,2024,BRANCO
"CYV9533   ",20,68896278449,2012,CHUMBO
"PKG9404   ",88,76291612959,2024,VERMELHO
"ECU5889   ",13,69840226197,2011,CHUMBO
"LIM1742   ",59,74491044322,2006,BRANCO
"CPS0977   ",42,12003147256,2013,VERDE
"GFA5494   ",32,98771017517,2019,AMARELO
"EVC0075   ",51,87990201713,2013,VERMELHO
"TDI0583   ",9,41537257254,2022,BRANCO
"MPO2413   ",91,60590790431,2001,VERMELHO
"YVQ1176   ",78,89443038790,2020,PRETO
"YHQ9538   ",59,86137786142,2000,CINZA
"TFA6377   ",21,94372512245,2021,CHUMBO
"ULR6417   ",86,26965770815,2005,CINZA
"QBI7501   ",7,58317887540,2013,VERMELHO
"CSD8219   ",1,37396332315,2009,CHUMBO
"QMG3979   ",70,31752795331,2009,VERMELHO
"UTJ6188   ",46,38687476859,2010,CHUMBO
"UDU7677   ",13,60773729622,2006,CHUMBO
"XPS5077   ",86,19169479113,2015,CINZA
"HFW7656   ",9,52581250533,2024,AMARELO
"MRD0043   ",1,15746440312,2024,CINZA
"RTR0388   ",87,87625922012,2018,PRETO
"YWD1206   ",36,85790839044,2006,PRATA
"ABT5009   ",90,40110467696,2001,CHUMBO
"IUS6495   ",48,39353195372,2003,CHUMBO
"FHZ9036   ",99,13418384580,2022,CHUMBO
"NZT1330   ",21,97077419151,2009,PRETO
"MHE1998   ",87,72620572371,2013,PRATA
"YPU9350   ",11,55728129924,2010,CHUMBO
"GDZ6348   ",61,67407253761,2012,VERMELHO
"QSA6114   ",1,15671844641,2021,CHUMBO
"TEW4056   ",86,56072966836,2022,PRATA
"EHA5720   ",86,90562180306,2012,VERMELHO
"WSH9877   ",82,74046357357,2022,BRANCO
"MTX6813   ",28,23660708605,2020,BRANCO
"KZR2303   ",71,44807618049,2007,PRATA
"KID7061   ",42,17474166773,2019,BRANCO
"LJZ2600   ",58,86824994011,2000,BRANCO
